Publication Years	records	% of 3911
2020	597	15.265
2019	765	19.560
2018	549	14.037
2017	438	11.199
2016	331	8.463
2015	223	5.702
2014	180	4.602
2013	168	4.296
2012	117	2.992
2011	86	2.199
2010	80	2.046
2009	72	1.841
2008	44	1.125
2007	42	1.074
2006	39	0.997
2005	21	0.537
2004	19	0.486
2003	18	0.460
2002	25	0.639
2001	14	0.358
2000	18	0.460
1999	9	0.230
1998	10	0.256
1997	11	0.281
1996	7	0.179
(9 Publication Years value(s) outside display options.)
(0 records (0.000%) do not contain data in the field being analyzed.)
