Publication Years	records	% of 70483
2021	1	0.001
2020	9109	12.924
2019	12571	17.836
2018	9858	13.986
2017	8425	11.953
2016	6776	9.614
2015	5315	7.541
2014	4136	5.868
2013	3274	4.645
2012	2459	3.489
2011	1840	2.611
2010	1427	2.025
2009	1051	1.491
2008	796	1.129
2007	660	0.936
2006	457	0.648
2005	380	0.539
2004	258	0.366
2003	214	0.304
2002	187	0.265
2001	151	0.214
2000	152	0.216
1999	133	0.189
1998	135	0.192
1997	104	0.148
(32 Publication Years value(s) outside display options.)
(0 records (0.000%) do not contain data in the field being analyzed.)
